INSERT INTO Видео_жанр (id_видео,id_жанра) VALUES (
            76,0
        ),(
            110,0
        ),(
            85,6
        ),(
            74,2
        ),(
            100,3
        ),(
            47,4
        ),(
            37,0
        ),(
            139,4
        ),(
            116,5
        ),(
            133,6
        ),(
            5,0
        ),(
            42,4
        ),(
            35,0
        ),(
            8,6
        ),(
            109,1
        ),(
            37,5
        ),(
            130,2
        ),(
            17,2
        ),(
            49,0
        ),(
            138,1
        ),(
            93,2
        ),(
            37,6
        ),(
            64,5
        ),(
            87,1
        ),(
            40,3
        ),(
            72,5
        ),(
            96,1
        ),(
            91,2
        ),(
            58,3
        ),(
            125,2
        ),(
            97,6
        ),(
            25,6
        ),(
            123,1
        ),(
            67,1
        ),(
            47,5
        ),(
            87,3
        ),(
            115,5
        ),(
            138,3
        ),(
            29,0
        ),(
            42,3
        ),(
            67,4
        ),(
            85,2
        ),(
            49,5
        ),(
            55,3
        ),(
            38,1
        ),(
            38,3
        ),(
            7,6
        ),(
            18,3
        ),(
            39,2
        ),(
            95,4
        ),(
            124,6
        ),(
            68,0
        ),(
            91,1
        ),(
            123,5
        ),(
            21,1
        ),(
            54,3
        ),(
            43,2
        ),(
            27,4
        ),(
            82,0
        ),(
            81,5
        ),(
            78,5
        ),(
            83,1
        ),(
            68,3
        ),(
            85,1
        ),(
            127,0
        ),(
            132,1
        ),(
            139,3
        ),(
            76,3
        ),(
            97,4
        ),(
            84,1
        ),(
            139,2
        ),(
            115,2
        ),(
            86,5
        ),(
            131,2
        ),(
            110,4
        ),(
            23,0
        ),(
            105,2
        ),(
            112,6
        ),(
            25,3
        ),(
            128,3
        ),(
            69,1
        ),(
            67,5
        ),(
            79,1
        ),(
            19,0
        ),(
            26,1
        ),(
            133,4
        ),(
            123,5
        ),(
            73,3
        ),(
            25,2
        ),(
            112,0
        ),(
            43,4
        ),(
            29,3
        ),(
            56,6
        ),(
            55,4
        ),(
            21,4
        ),(
            22,3
        ),(
            6,5
        ),(
            4,6
        ),(
            129,0
        ),(
            5,6
        ),(
            38,3
        ),(
            95,4
        ),(
            39,2
        ),(
            133,5
        ),(
            1,3
        ),(
            3,1
        ),(
            15,2
        ),(
            43,6
        ),(
            70,5
        ),(
            139,5
        ),(
            95,3
        ),(
            112,6
        ),(
            24,1
        ),(
            40,2
        ),(
            26,0
        ),(
            134,1
        ),(
            49,6
        ),(
            70,6
        ),(
            128,4
        ),(
            75,0
        ),(
            106,1
        ),(
            82,4
        ),(
            46,0
        ),(
            38,0
        ),(
            59,5
        ),(
            133,6
        ),(
            111,5
        ),(
            10,3
        ),(
            63,3
        ),(
            39,3
        ),(
            101,6
        ),(
            53,5
        ),(
            35,6
        ),(
            58,4
        ),(
            137,2
        ),(
            113,6
        ),(
            17,2
        ),(
            55,0
        ),(
            31,3
        ),(
            129,5
        ),(
            11,6
        ),(
            109,1
        ),(
            79,0
        ),(
            125,6
        ),(
            107,0
        ),(
            133,3
        ),(
            101,5
        ),(
            120,1
        ),(
            30,1
        ),(
            97,0
        ),(
            27,0
        ),(
            74,3
        ),(
            55,0
        ),(
            4,1
        ),(
            123,5
        ),(
            8,0
        ),(
            27,6
        ),(
            110,3
        ),(
            42,1
        ),(
            49,2
        ),(
            6,3
        ),(
            106,6
        ),(
            102,5
        ),(
            50,1
        ),(
            50,6
        ),(
            105,4
        ),(
            48,6
        ),(
            73,6
        ),(
            20,1
        ),(
            64,0
        ),(
            118,6
        ),(
            137,0
        ),(
            25,5
        ),(
            109,1
        ),(
            128,0
        ),(
            18,1
        ),(
            2,1
        ),(
            13,3
        ),(
            6,0
        ),(
            37,5
        ),(
            30,2
        ),(
            48,4
        ),(
            2,0
        ),(
            0,4
        ),(
            22,4
        ),(
            66,1
        ),(
            9,1
        ),(
            78,1
        ),(
            98,6
        ),(
            42,6
        ),(
            14,3
        ),(
            62,1
        ),(
            59,6
        ),(
            134,6
        ),(
            30,0
        ),(
            84,2
        ),(
            76,2
        ),(
            32,1
        ),(
            33,3
        ),(
            53,5
        );
