INSERT INTO Любимые_жанры (id_жанра,id_клиента) VALUES (
            7,158
        ),(
            6,64
        ),(
            5,169
        ),(
            2,170
        ),(
            3,142
        ),(
            2,167
        ),(
            6,94
        ),(
            7,82
        ),(
            1,199
        ),(
            4,87
        ),(
            6,184
        ),(
            2,151
        ),(
            2,38
        ),(
            2,7
        ),(
            4,107
        ),(
            1,122
        ),(
            4,60
        ),(
            2,20
        ),(
            1,172
        ),(
            3,58
        ),(
            5,45
        ),(
            1,13
        ),(
            4,65
        ),(
            4,15
        ),(
            1,163
        ),(
            2,153
        ),(
            1,18
        ),(
            2,52
        ),(
            6,191
        ),(
            6,113
        ),(
            7,88
        ),(
            3,50
        ),(
            2,58
        ),(
            2,172
        ),(
            4,143
        ),(
            1,152
        ),(
            5,89
        ),(
            1,19
        ),(
            2,188
        ),(
            7,55
        ),(
            3,4
        ),(
            4,199
        ),(
            2,184
        ),(
            2,3
        ),(
            5,95
        ),(
            4,23
        ),(
            1,98
        ),(
            1,56
        ),(
            7,145
        ),(
            7,99
        ),(
            1,55
        ),(
            1,12
        ),(
            6,114
        ),(
            6,134
        ),(
            6,16
        ),(
            1,164
        ),(
            2,144
        ),(
            3,186
        ),(
            4,197
        ),(
            4,120
        ),(
            4,63
        ),(
            2,95
        ),(
            4,35
        ),(
            1,88
        ),(
            1,136
        ),(
            3,192
        ),(
            2,172
        ),(
            2,24
        ),(
            3,136
        ),(
            4,24
        ),(
            2,157
        ),(
            3,197
        ),(
            1,72
        ),(
            7,158
        ),(
            4,133
        ),(
            1,40
        ),(
            1,83
        ),(
            2,162
        ),(
            5,148
        ),(
            7,132
        ),(
            4,194
        ),(
            2,160
        ),(
            5,138
        ),(
            7,95
        ),(
            6,83
        ),(
            4,197
        ),(
            2,159
        ),(
            4,74
        ),(
            7,188
        ),(
            1,20
        ),(
            1,111
        ),(
            1,109
        ),(
            7,121
        ),(
            2,35
        ),(
            1,166
        ),(
            5,100
        ),(
            2,139
        ),(
            5,116
        ),(
            3,106
        ),(
            1,7
        ),(
            7,79
        ),(
            4,21
        ),(
            2,74
        ),(
            5,170
        ),(
            4,97
        ),(
            2,121
        ),(
            3,98
        ),(
            7,29
        ),(
            1,83
        ),(
            3,96
        ),(
            1,200
        ),(
            5,96
        ),(
            6,180
        ),(
            7,187
        ),(
            2,155
        ),(
            5,43
        ),(
            3,39
        ),(
            2,151
        ),(
            2,84
        ),(
            2,88
        ),(
            5,152
        ),(
            1,52
        ),(
            4,73
        ),(
            1,113
        ),(
            3,81
        ),(
            3,139
        ),(
            4,60
        ),(
            6,105
        ),(
            2,57
        ),(
            6,127
        ),(
            5,39
        ),(
            3,34
        ),(
            2,98
        ),(
            3,115
        ),(
            7,137
        ),(
            4,171
        ),(
            2,190
        ),(
            1,46
        ),(
            6,167
        ),(
            1,110
        ),(
            4,86
        ),(
            7,78
        ),(
            1,58
        ),(
            1,179
        ),(
            3,87
        ),(
            3,116
        ),(
            7,21
        ),(
            2,162
        ),(
            6,190
        ),(
            7,28
        ),(
            7,62
        ),(
            3,97
        ),(
            4,72
        ),(
            1,57
        ),(
            5,171
        ),(
            3,121
        ),(
            1,5
        ),(
            4,200
        ),(
            5,84
        ),(
            6,196
        ),(
            1,23
        ),(
            5,187
        ),(
            4,179
        ),(
            2,170
        ),(
            1,30
        ),(
            6,92
        ),(
            5,10
        ),(
            1,178
        ),(
            7,139
        ),(
            3,87
        ),(
            6,163
        ),(
            5,193
        ),(
            3,75
        ),(
            2,185
        ),(
            4,19
        ),(
            3,107
        ),(
            7,166
        ),(
            3,60
        ),(
            7,87
        ),(
            2,112
        ),(
            3,145
        ),(
            7,189
        ),(
            4,10
        ),(
            7,78
        ),(
            3,182
        ),(
            4,110
        ),(
            6,20
        ),(
            4,77
        ),(
            1,41
        ),(
            3,68
        ),(
            7,79
        ),(
            7,65
        ),(
            5,125
        ),(
            7,142
        ),(
            7,175
        ),(
            7,82
        ),(
            7,109
        ),(
            2,19
        ),(
            3,159
        ),(
            6,104
        );
